text,Label
I've had my concept of the idea of indigenous city to land refined primarily by guy,0
 I always thought the idea of the promised land and the prom and the prayer to Jerusalem,0
 And next next year in Jerusalem was something spiritual and of faith,0
" But I have another layer added to my understanding of that, which is that there's a sense that the people were there, they see it as sort of a displacement and then to tha or however thousands of years later they go back",0
 So there's another layer added to my knowledge mine as well,0
" Yeah, might as well is definitely and most notably is the terminology, how, how certain terms do define as different for different groups of people according to their culture and society and according to their personal experiences",0
" And I definitely learned that zionism especially this word with as as mary put it, it's a harsh z that could be the source of many different, many different and many multi layered, multicultural meanings",0
 Anyone else want to go jump in? I can go after you,0
 Very good taking Muhammad if he doesn't want to talk,0
 It's some the great chance to connect and to discuss with because another people want to face in in Palestine in or stand or around the world to get you guys point of view,0
 There's a great level of understanding and empathy from a lot of you out there to the plight of the Palestinians,0
 I appreciate all you guys separates especially guys,0
 And my for moderating really well yesterday so I commend you guys for all that and I hope you will continue to be a positive influence and affect your direct so your direct people that can change as well,0
" And I think we need to really keep this also uh, in the forefront for people to learn about because I haven't been enough about it",0
" Um, and uh, but I just now made in recent weeks and the Syrian friend, I didn't even know what is a Syrian, you know, it's not Syrian and there's like they're like connected to the Armenian people in certain ways, but they're not",0
" So this is something very important that I think we should also emphasis, I just want to say, uh, the same thing",0
 I do agree with you biden that just recognize that,0
" But at the same time, biden just funded uh, Azerbaijan",0
 So whoever wanted to speak on the question and then we can open it up back to conversation,0
" You can, I think I've been in here for like 30 hours on and off and it has been the most incredible conversations going up and down and all around and guy Maria Rayna, I mean I have to salute you as well as obviously margins",0
" And this is really, we are like to have clubhouse like this motion that you started the room to see where the conversation has been going and it's almost 2",0
" Hi, it's Suzanne, I was just gonna voice in this room has been beautiful for me",0
" It has been therapeutic because I have spent many days crying, wondering what I can do",0
" I truly feel like although I might not be making a difference in the the whole resolution, it just feels like I'm hearing people that truly want to make a difference and truly want there to be a peaceful resolution",0
" We're going to do more just I guess just start continuing to use the balanced club and maybe we could do with some other topics to if you guys want to follow along, but whoever wants to speak next and we can bring some people from the audience",0
 So there are many people who are going into conversation,0
 But we're just trying to just figure out what people learned and house people's minds got changed,0
" And if you want to answer, picking us up, can we hear a Palestinian place? I would love to hear",0
" But did you want to share? Do you want to just continue? Because once we continue the conversation, I'll call on you",0
 What did you learn much? Well um I like I like the room honestly speaking,0
" But I have I have listen to many misinformation that needs to be corrected so I will just leave it for now and then later on I come when we do, yeah we're calling you when we leave back in Natali Natali, would you would you like to say something to talk? Sure",0
 Um I was just wanted to say that I really appreciate this room as well because um I mean first of all I feel really humble that I'm able to have been a part of these conversations,0
 Um I feel really humble that there are people who are creating spaces for and facilitating conversations between Palestinians and Israelis,0
" And just this effort brings me so much hope and I feel a lot of um I mean you know there it's difficult because there there's a lot of heightened, there's tension, there's a lot of history and just the willingness to learn is extremely beautiful and if I could just share one thing I learned um yesterday I was sharing that my family um I'm Palestinian, but my grandmother left Well what had to leave Palestine um when she was 13 and went to Lebanon um and was forced to leave the life she ever known and really never spoke about being Palestinian because I think the trauma she faced and the fear of persecution and also these this politics somewhat in Lebanon where it's uh an officially christian country and we're christian Palestinian and she um uh was given Lebanese citizenship because she was half Palestinian, half Lebanese and christian",0
 A lot of Palestinians in Lebanon continue to live in refugee camps and are not granted citizenship and they continue to be stateless as they are in Palestine and it's extremely difficult for them and I can only imagine how difficult it was for my grandmother who passed her brothers and sisters,0
" Um for me, I equated with, you know, the institution of the faith and I know that Judaism is a religion and it's in a group of people as well as it is a religion and I own my only frame of reference is I guess Christianity and the separation in my mind of the faith of Christianity and the institution of Christianity, which is let's say the Vatican and how I would react if I had seen, you know, the Vatican annexing Italy and further encroaching on Italy and taking homes from Italians",0
" And so I thought things were, that was my family reference",0
" So it's, it's been so uh, I guess enlightening, beautiful heartening to listen to and expand my mind and see that, you know, zionism is not just what I thought it was and it's also not for me to define anti Semitism though I know my heart, I'm sorry, I feel like I took so much space",0
" Can I say a couple of words about what he just said? No, let's just stay on topic week",0
" You could address people, but right now we're just doing individual talks",0
" I've been in this room for, like I said a couple of days witnessed a few different waves of earlier, somebody was complaining that one side is the room benefits one side more than the other",0
 Uh last night I was hearing completely opposite side of saying the same thing,0
 So that also gives us an example of how at different times we can look at the same room and have completely different opinions on the same the same,0
 Uh the information is completely different at different times,0
 A couple of comments I have to make by listening for a few days,0
 Uh first I'd like to say that the terminology is extremely important,0
 And is it possible you could just share your personal experience and not a few things,0
" We don't don't address what was said, and I'm just going to say this again, I'm not talking to you, but it seems like a lot of people are going to that and there are people waiting to speak and what was asked What You don't talk about terminology, Don't talk about",0
" What has, what has your mind changed? How have you never done? Very, very quick then, Then what I see in my mind is changing",0
" So, if anyone wants to address the question and don't try to reframe it three different ways to try to get your point across",0
" It's not going to show anyone, you know, you're not going to draw people to your way",0
" So, if anyone wants to share what was changed in their mind by listening to this room, whether you're here for five minutes, this is say idea",0
 I would like to have two words about my experience in this room,0
" And uh I would really I also, I was moved by some of my Israeli brothers and sisters were able to understand uh and get moved by the Palestinian side of stories",0
 And also I want myself I want to pray for the people,0
" You know sometimes the moderators have done an excellent job in trying to limit the harmful interaction of people who are unable to do that, unable to suppress their anger and rage",0
 And it's just so sad for me that we still cannot do this,0
" And I'm so I'm not not even post its certainty, Peace will come",0
" Just a statement saying one would be, let's support palace to the new year label Anti Semetic",0
 Exactly what Mohammed mentioned the same recycled art tears your athletic,0
 I just think that argument itself for some reason only attached to the Palestinian must all income from the Palestinians,0
 So it was so my memory goes back to when it was just Egyptian and Palestinian orders,0
" No it's really but like you bringing up these things, I'm starting to remember stuff that like I remember at some point, well people are we're living so they were entering the Israeli border from the Egyptian border",0
" I remember them getting a man, so obviously you have to go through metal detectors",0
" I remember once after we all went through the metal detectors and my auntie was with us and she was pregnant and she was begging she's like I'm pregnant, I cannot go into these metal detectors because obviously she's pregnant and they're not good for they're not good for the baby",0
 And that's just why because he's going punk is pretty to Gaza which is you know shouldn't be a which shouldn't be you know we shouldn't be treated in this way,0
 Um I have like a lot a lot like the amount of things we went through on the Egyptian side on like as you said like after the torture of like then I remember how you said you went with the V,0
 We tried to be I passed on the Egyptian border once,0
 And so it was basically so the border like to get to the actual building where you stamp your passport you need to get across and outside border which is like a 10 minute no not even maybe a 10 minute walk,0
 So because we were Children at the time my parents were like well just pay and instead of having to like walk this basic even more than 10 minutes actually 20 minutes maybe we'll just pay for the best to get us exactly inside,0
" Like if I recall correctly, the bus picked us about 10",0
 From the area we were in and then one hour drive 11 am,0
 We were outside the Borders at the outside borders and the bus was not allowed to move and we saw people who had been there four days trying to enter and that time we stayed outside in the sun and Egypt is very hot in the summer For over like 11 12 hours,0
 They let us they finally let us in the border to get our passport stamped once we got there we got there also it took long again as she said like you know you're having a foreign passport does not speed anything up for you,0
" They can like one instance it was thrown in our face like go take your passport and drink it like wet it and drink its water kind of, it's in Arabic saying below tomato kind of thing like what are you doing with your past? Like we don't care about it basically",0
" And because we're foreigners we have to we have a foreign passport, we have to wait extra time for our passport information to go all the way to like extremely intelligence or whatever",0
" And as she, but at this point I'm describing a time where there was no Israeli size",0
" So I just go back to like the Palestinian side and we got in there like you know for me, you know how she said, you know, take this sister was uh was the biggest relief for her for us",0
 We were literally just got off the bus and we were standing on a grassy area because the Palestinian area was very full of people,0
" My little brother was crying like I need water, I need water again",0
" This was the tastiest, most refreshing water I've ever drunk in my life",0
" And that was like the first time I actually felt, you know how in books they described the air of your country",0
" That was when I like felt the air of Palestine and I was like, oh my God, I'm in Palestine",0
" And and these memories and as she said, these things are what make us, you know, fight for it, this is what makes us want to be in Palestine another",0
 Now the border like the Egyptian To get from Cairo to the borders usually takes four hours,0
" This time it took us 12 hours because even though we paid VIP, imagine I'm just talking um the way because of all the restrictions that are happening, just the road from the Cairo airport to the border took 12 hours and that's for people who pay extra",0
" So we paid like for each person, like a big amount of money and then again, this is a privilege",0
" I'm not going to talk, I'm not going to like this is not the point of this story",0
" We go through one day, put our bags out, open our luggage and then just throw them on the ground and we have to collect them",0
 I'm not going to go into details about that because it's this is not the point of my story,0
" But when we got, we got into Gaza we're finished, there's like recently Israel have our started allowing Palestinians to leave Gaza through through the Jordanian border",0
" No, everyone is like lucky enough to get out but thankfully I don't know",0
" Yeah, thanks for the I guess we were one of those people and that experience on its own was for me one of the like one of the most heartbreaking experiences because we're going on to a bus after we finished all the like, you know, you know, so let me you know, so preparing for this travel through Israel, we're not allowed to carry any products that has like liquids in them so no makeup, no perfumes",0
" Everyone like imagine like, you know, people who are coming to say goodbye to us are like don't take this, forget about this shoes, you're only allowed to shoes with you per person is it? Actually? Yeah, I think It's either one or 2 shoes, I'm more inclined to think",0
" Yeah, I think it's two shoes you're not allowed anything with metal in it, you know, so like, like literally your bags, your luggage, it's not allowed to have wheels",0
" So all of our luggage was left there and you're carrying our things with us in our house path of our belongings were still there, we left, we had to leave them behind",0
" Like all your person like, you know, a toothbrush you can't carry with you",0
 You can unless you get a specific uh huh allowance or specific,0
" But you know, we have people that are leaving and they have their hands up and I just realized that they're all gone and I'm not trying to take away from your story, but please we do know these injustices",0
" But if you know, you can get to your like your punch point because we have heard like, I don't know, I don't know if I'm sorry if I'm I just feel like we have some new voices that uh, and as moderators, you know, I still feel like we should always be discourse",0
" And just found I felt bad a little bit for going on for lunch, so I'm just gonna go quickly where I'm getting out",0
" I hate to say this word, but yeah, we left and then they put us one of us in this bus, we had a police car right behind this, in a police car in front of us because we we weren't allowed to leave this bus until we reach the Jordanian border",0
" So for example, and just see it from a window and knowing that it's like a couple of miles away and then you're just not allowed to go down and see it",0
 And so because he really wants to help help Palestine um with with good government infrastructure,0
 Doing some things and um there was this giant conference that it was the APAC conference and I didn't know what that was,0
 And when I started hearing what they were saying and it struck me how these people this this a pack group was completely dehumanizing everybody that was in the Palestinian state,0
" And I thought what in the world is going on here and my friends, we were just shocked",0
 And and then I realized also how much power that this group actually has,0
" And they would go around in groups and clusters to to the Congress people's office to get, you know, to ask for this funding at the same time completely dehumanizing everyone saint Palestine",0
